 news.128.t:0 "La caída de Berlín"
 news.128.d:0 "La captura de la capital alemana ha sido confirmada por funcionarios en Washington, después de que las fuerzas estadounidenses se abrieran paso luchando hasta  Berlín desde varias direcciones. Los combates en la ciudad fueron descrito como intenso, con el puente de Moltke siendo demolido por zapadores alemanes desesperados para detener el avance estadounidense.\n\nFinalmente se tomaron otros puentes sobre el Spree, y soldados estadounideness asaltaron la Ópera Kroll y el Reichstag con éxito pese a la feroz resistencia alemana. Las Barras y Estrellas ahora revolotea con el viento sobre el Reichstag, y se ha dejado de luchar en la ciudad. La batalla de Berlín se ha acabado."
 news.128.b:0 "¡Una operación de manual!"
 news.129.d:0 "Las fuerzas británicas avanzaron sobre Berlín, y el gabinete de guerra ha anunciado la exitosa captura de la capital alemana después de una batalla campal. Atacando de madrugada, comandos británicos capturaron el aeropuerto Tempelhof mientras columnas de blindados avanzaron a lo largo de la Frankfurter Allee.\n\nCon la Cancillería del Reich bajo control británico, la luchando ha terminado en gran parte de la ciudad. El estado actual del gobierno alemán sigue siendo confuso, pero se cree que al menos algunos elementos del mismo escaparon de la ciudad antes de su caída. "
 news.129.b:0 "¡Esplendido buen trabajo, chavales!"
 news.130.d:0 "Las fuerzas francesas con éxito han irrumpieron en la capital alemana, que cayó tras una serie de batallas campales dentro de los límites de la ciudad. Un gran grupo de soldados de la Waffen-SS se atrincheraron en el Olympiastadion, que cayó después de un ataque decidido de la Legión Extranjera apoyado por la artillería.\n\nLa tricolor francés puede verse ahora en la Cancillería del Reich, y aunque se sigue informando de algunos enfrentamientos esporádicos en algunos barrios residenciales, se cree que la mayor parte de Berlín ha sido limpiada de resistencia organizada. "
 news.130.b:0 "Vive la France!"
 news.133.d:0 "Fuerzas de Francia entraron recientemente en Roma después que los restos de la guarnición italiana de la ciudad se desbandaran por el campo circundante. Las tropas francesas se movieron rápidamente para ocupar todos los edificios importantes del gobierno, y se llevó a cabo un 'triunfo' a lo largo de la Via del Corso por una larga procesión de soldados y vehículos blindados marchando.\n\nCon la caída de Roma, la capacidad de Italia para continuar la guerra se pone en tela de juicio. Observadores externos esperan que el gobierno italiano, que huyó de la ciudad justo antes de su caída, pronto comenzará las negociaciones de rendición. "
 news.155.t:0 "Alemania en guerra otra vez"
 news.155.d:0 "Aunque muchos habían deseado de una paz duradera en Europa, un giro reciente de los acontecimientos ha puesto a Alemania de nuevo en el camino a la guerra una vez más. A pesar de estar violando claramente el Tratado de Versalles, las tropas alemanas se han movilizado y están listas para ir en la ofensiva. Funcionarios alemanes exponen que Renania dejará de estar desmilitarizada, argumentando la necesidad de proteger a los ciudadanos alemanes en la zona."
 news.155.a:0 "Esto puede ser el inicio de otra gran guerra"
 news.155.b:0 "¡Por la gloria de la nación alemana!"

 ace_promoted.1.t:0 "As aéreo ascendido"
 ace_promoted.2.t:0 "¡Aparece un As salvaje!"
 ace_promoted.1.d:0 "Pocos toman tantos riesgos como los valientes pilotos de la fuerza aérea [Root.GetAdjective]. [From.GetName] [From.GetSurname], un piloto experto conocido bajo el indicativo [From.GetCallsign], se ha distinguido [From.GetHerselfHimself] no sólo volviendo vivo de la reciente misión en [From.GetMissionRegion], sino sobreviviendo con significativas victorias en muchos críticos encuentros.\n\nConsiderado como un brillante ejemplo de valentía [Root.GetAdjective], el ascenso reciente de [From.GetName] ha sido muy publicitado. Aunque la gente puede en la guerra más infierno que gloria, muchos están encantados de ver que todavía hay héroes a los que seguir."
 ace_promoted.1.d_major:0 "Pocos toman tantos riesgos como los valientes pilotos de la fuerza aérea [Root.GetAdjective]. [From.GetName] [From.GetSurname], un piloto experto conocido bajo el indicativo [From.GetCallsign], se ha distinguido [From.GetHerselfHimself] no sólo volviendo vivo de la reciente misión en [From.GetMissionRegion], sino pilotando [From.GetHerHis] [From.GetWing] con gran habilidad. Recientemente, [From.GetName] estaba en una misión sobre [From.GetMissionRegion] y fue fundamental para el éxito de este importante encuentro.\n\nConsiderado como un ejemplo brillante de valentía [Root.GetAdjective], el ascenso reciente de [From.GetName] ha sido muy publicitado. Aunque la gente puede en la guerra más infierno que gloria, muchos están encantados de ver que todavía hay héroes a los que seguir."
 ace_promoted.1.a:0 "Quién se atreve, gana."
 ace_died.1.t:0 "[From.GetCallsign] muerto sobre [From.GetMissionRegion]"
 ace_died.1.d:0 "Uno de los más famosos ases de [From.GetAceType] de [From.Owner.GetName], [From.GetFullName], ha caído en llamas en el cumplimiento de su deber, durante una misión en [From.GetMissionRegion]. Lamentablemente, como [From.GetSheHe] ha sido desde hace  mucho una figura pública, la desaparición de [From.GetCallsign] es muy desmoralizadora para la mucha gente que sentia admiración por [From.GetHerHim].\n\nAunque desearíamos que hubiera un modo de ocultar este evento a la gente, la falta de apariciones públicas de [From.GetName] pronto levantarían suspicacias. En última instancia, la muerte [From.GetHerHis] es otra parte de una leyenda que vivirá mucho más allá de nuestros problemas actuales. "
